HYD,IRR,ENV,RCP,MODEL
12.54,375.70,2356.46,45.00,1.00
12.52,379.07,2356.76,45.00,1.00
12.50,381.98,2357.05,45.00,1.00
12.48,384.59,2357.33,45.00,1.00
12.47,386.88,2357.59,45.00,1.00
12.45,388.85,2357.83,45.00,1.00
12.44,390.55,2358.05,45.00,1.00
12.43,392.10,2358.26,45.00,1.00
12.42,393.55,2358.45,45.00,1.00
12.41,394.88,2358.62,45.00,1.00
12.41,396.08,2358.78,45.00,1.00
12.40,396.94,2358.90,45.00,1.00
12.41,396.07,2358.80,45.00,1.00
12.43,393.22,2358.43,45.00,1.00
12.46,388.43,2357.79,45.00,1.00
12.51,381.65,2356.88,45.00,1.00
12.57,373.29,2355.95,45.00,1.00
12.63,365.22,2355.30,45.00,1.00
12.69,357.72,2355.90,45.00,1.00
12.74,350.79,2356.04,45.00,1.00
12.79,344.45,2356.55,45.00,1.00
12.83,338.65,2356.66,45.00,1.00
12.87,332.99,2356.60,45.00,1.00
12.92,327.39,2356.36,45.00,1.00
12.96,321.85,2355.97,45.00,1.00
13.00,316.38,2355.64,45.00,1.00
13.04,311.00,2355.70,45.00,1.00
13.07,305.99,2355.58,45.00,1.00
13.11,301.39,2355.33,45.00,1.00
13.14,297.21,2355.02,45.00,1.00
13.16,293.45,2354.67,45.00,1.00
13.19,290.08,2354.31,45.00,1.00
13.21,286.96,2353.95,45.00,1.00
13.23,284.06,2353.58,45.00,1.00
13.25,281.38,2353.22,45.00,1.00
13.27,278.92,2352.87,45.00,1.00
13.29,276.67,2352.54,45.00,1.00
13.30,274.61,2352.24,45.00,1.00
13.32,272.73,2352.19,45.00,1.00
13.33,271.03,2352.30,45.00,1.00
13.34,269.50,2352.31,45.00,1.00
13.35,268.19,2352.29,45.00,1.00
13.36,267.23,2352.25,45.00,1.00
13.37,266.66,2352.22,45.00,1.00
13.37,266.46,2352.21,45.00,1.00
13.36,266.66,2352.23,45.00,1.00
13.36,267.17,2352.26,45.00,1.00
13.36,267.56,2352.28,45.00,1.00
13.35,267.78,2352.29,45.00,1.00
13.35,267.81,2352.29,45.00,1.00
13.36,267.66,2352.29,45.00,1.00
13.36,267.30,2352.27,45.00,1.00
13.36,266.57,2352.24,45.00,1.00
13.37,265.43,2352.17,45.00,1.00
13.38,263.89,2352.06,45.00,1.00
13.40,261.95,2351.88,45.00,1.00
13.42,259.67,2351.63,45.00,1.00
13.43,257.42,2351.35,45.00,1.00
13.45,255.27,2351.04,45.00,1.00
13.47,253.20,2350.73,45.00,1.00
13.48,251.22,2350.41,45.00,1.00
13.50,249.34,2350.09,45.00,1.00
13.51,247.55,2349.77,45.00,1.00
13.52,245.85,2349.46,45.00,1.00
14.46,119.27,2319.82,45.00,1.00
14.42,126.28,2321.05,45.00,1.00
14.38,132.76,2322.28,45.00,1.00
14.34,138.73,2323.52,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.16,2326.02,45.00,1.00
14.23,153.67,2327.28,45.00,1.00
14.19,157.94,2328.58,45.00,1.00
14.15,163.19,2330.08,45.00,1.00
14.10,169.63,2331.84,45.00,1.00
14.04,177.27,2333.87,45.00,1.00
13.97,186.09,2336.11,45.00,1.00
13.90,195.94,2338.51,45.00,1.00
13.83,205.77,2340.90,45.00,1.00
13.75,215.43,2343.18,45.00,1.00
13.68,224.92,2345.36,45.00,1.00
13.61,234.22,2347.46,45.00,1.00
13.54,243.40,2349.37,45.00,1.00
13.46,252.69,2351.06,45.00,1.00
13.39,262.15,2352.26,45.00,1.00
13.30,271.79,2352.44,45.00,1.00
13.23,281.60,2353.86,45.00,1.00
13.15,291.66,2354.93,45.00,1.00
13.07,302.07,2355.47,45.00,1.00
12.99,312.79,2355.61,45.00,1.00
12.91,323.79,2356.30,45.00,1.00
12.82,335.09,2356.36,45.00,1.00
12.74,346.46,2355.73,45.00,1.00
12.67,356.38,2354.87,45.00,1.00
12.61,364.59,2355.47,45.00,1.00
12.57,371.11,2355.98,45.00,1.00
12.54,375.97,2356.48,45.00,1.00
12.51,379.33,2356.78,45.00,1.00
12.50,382.18,2357.06,45.00,1.00
12.48,384.73,2357.32,45.00,1.00
12.47,386.91,2357.56,45.00,1.00
12.46,388.74,2357.78,45.00,1.00
12.45,390.29,2357.98,45.00,1.00
12.44,391.82,2358.18,45.00,1.00
12.43,393.38,2358.38,45.00,1.00
12.41,394.97,2358.59,45.00,1.00
12.40,396.59,2358.80,45.00,1.00
12.40,397.97,2358.99,45.00,1.00
12.40,397.62,2358.94,45.00,1.00
12.42,395.27,2358.64,45.00,1.00
12.45,390.91,2358.06,45.00,1.00
12.50,384.55,2357.18,45.00,1.00
12.55,376.56,2356.18,45.00,1.00
12.61,368.88,2355.58,45.00,1.00
12.66,361.79,2355.55,45.00,1.00
12.71,355.26,2356.11,45.00,1.00
12.76,349.30,2356.30,45.00,1.00
12.80,343.89,2356.61,45.00,1.00
12.84,338.60,2356.67,45.00,1.00
12.88,333.35,2356.58,45.00,1.00
12.91,328.14,2356.34,45.00,1.00
12.95,322.97,2355.99,45.00,1.00
12.99,317.91,2355.61,45.00,1.00
13.03,313.28,2355.71,45.00,1.00
13.06,309.19,2355.65,45.00,1.00
13.08,305.60,2355.50,45.00,1.00
13.10,302.54,2355.32,45.00,1.00
13.12,299.96,2355.13,45.00,1.00
13.14,297.63,2354.93,45.00,1.00
13.16,295.54,2354.74,45.00,1.00
13.17,293.66,2354.55,45.00,1.00
13.18,292.01,2354.36,45.00,1.00
13.19,290.57,2354.20,45.00,1.00
13.20,289.23,2354.04,45.00,1.00
13.21,287.99,2353.89,45.00,1.00
13.22,286.84,2353.75,45.00,1.00
13.23,285.78,2353.62,45.00,1.00
13.23,284.83,2353.50,45.00,1.00
13.24,284.01,2353.40,45.00,1.00
13.24,283.33,2353.32,45.00,1.00
13.25,282.81,2353.26,45.00,1.00
13.25,282.42,2353.22,45.00,1.00
13.25,282.17,2353.20,45.00,1.00
13.25,281.90,2353.18,45.00,1.00
13.25,281.59,2353.15,45.00,1.00
13.26,281.25,2353.11,45.00,1.00
13.26,280.87,2353.05,45.00,1.00
